category,dataset,model,binvox,dimension,x_rotations,z_rotations
bathtub,test,bathtub_0136.off,bathtub_0136_32_x0_z0.binvox,32,0,0
bathtub,test,bathtub_0136.off,bathtub_0136_32_x0_z1.binvox,32,0,1
bathtub,test,bathtub_0136.off,bathtub_0136_32_x0_z2.binvox,32,0,2
bathtub,test,bathtub_0136.off,bathtub_0136_32_x0_z3.binvox,32,0,3
bathtub,test,bathtub_0136.off,bathtub_0136_32_x1_z0.binvox,32,1,0
bathtub,test,bathtub_0136.off,bathtub_0136_32_x1_z1.binvox,32,1,1
bathtub,test,bathtub_0136.off,bathtub_0136_32_x1_z2.binvox,32,1,2
bathtub,test,bathtub_0136.off,bathtub_0136_32_x1_z3.binvox,32,1,3
bathtub,test,bathtub_0136.off,bathtub_0136_32_x2_z0.binvox,32,2,0
bathtub,test,bathtub_0136.off,bathtub_0136_32_x2_z1.binvox,32,2,1
bathtub,test,bathtub_0136.off,bathtub_0136_32_x2_z2.binvox,32,2,2
bathtub,test,bathtub_0136.off,bathtub_0136_32_x2_z3.binvox,32,2,3
bathtub,test,bathtub_0136.off,bathtub_0136_32_x3_z0.binvox,32,3,0
bathtub,test,bathtub_0136.off,bathtub_0136_32_x3_z1.binvox,32,3,1
bathtub,test,bathtub_0136.off,bathtub_0136_32_x3_z2.binvox,32,3,2
bathtub,test,bathtub_0136.off,bathtub_0136_32_x3_z3.binvox,32,3,3
bathtub,test,bathtub_0151.off,bathtub_0151_32_x0_z0.binvox,32,0,0
bathtub,test,bathtub_0151.off,bathtub_0151_32_x0_z1.binvox,32,0,1
bathtub,test,bathtub_0151.off,bathtub_0151_32_x0_z2.binvox,32,0,2
bathtub,test,bathtub_0151.off,bathtub_0151_32_x0_z3.binvox,32,0,3
bathtub,test,bathtub_0151.off,bathtub_0151_32_x1_z0.binvox,32,1,0
bathtub,test,bathtub_0151.off,bathtub_0151_32_x1_z1.binvox,32,1,1
bathtub,test,bathtub_0151.off,bathtub_0151_32_x1_z2.binvox,32,1,2
bathtub,test,bathtub_0151.off,bathtub_0151_32_x1_z3.binvox,32,1,3
bathtub,test,bathtub_0151.off,bathtub_0151_32_x2_z0.binvox,32,2,0
bathtub,test,bathtub_0151.off,bathtub_0151_32_x2_z1.binvox,32,2,1
bathtub,test,bathtub_0151.off,bathtub_0151_32_x2_z2.binvox,32,2,2
bathtub,test,bathtub_0151.off,bathtub_0151_32_x2_z3.binvox,32,2,3
bathtub,test,bathtub_0151.off,bathtub_0151_32_x3_z0.binvox,32,3,0
bathtub,test,bathtub_0151.off,bathtub_0151_32_x3_z1.binvox,32,3,1
bathtub,test,bathtub_0151.off,bathtub_0151_32_x3_z2.binvox,32,3,2
bathtub,test,bathtub_0151.off,bathtub_0151_32_x3_z3.binvox,32,3,3
bathtub,test,bathtub_0125.off,bathtub_0125_32_x0_z0.binvox,32,0,0
bathtub,test,bathtub_0125.off,bathtub_0125_32_x0_z1.binvox,32,0,1
bathtub,test,bathtub_0125.off,bathtub_0125_32_x0_z2.binvox,32,0,2
bathtub,test,bathtub_0125.off,bathtub_0125_32_x0_z3.binvox,32,0,3
bathtub,test,bathtub_0125.off,bathtub_0125_32_x1_z0.binvox,32,1,0
bathtub,test,bathtub_0125.off,bathtub_0125_32_x1_z1.binvox,32,1,1
bathtub,test,bathtub_0125.off,bathtub_0125_32_x1_z2.binvox,32,1,2
bathtub,test,bathtub_0125.off,bathtub_0125_32_x1_z3.binvox,32,1,3
bathtub,test,bathtub_0125.off,bathtub_0125_32_x2_z0.binvox,32,2,0
