category,dataset,model,binvox,dimension,x_rotations,z_rotations
sofa,test,sofa_0742.off,sofa_0742_32_x0_z0.binvox,32,0,0
sofa,test,sofa_0742.off,sofa_0742_32_x0_z1.binvox,32,0,1
sofa,test,sofa_0742.off,sofa_0742_32_x0_z2.binvox,32,0,2
sofa,test,sofa_0742.off,sofa_0742_32_x0_z3.binvox,32,0,3
sofa,test,sofa_0742.off,sofa_0742_32_x1_z0.binvox,32,1,0
sofa,test,sofa_0742.off,sofa_0742_32_x1_z1.binvox,32,1,1
sofa,test,sofa_0742.off,sofa_0742_32_x1_z2.binvox,32,1,2
sofa,test,sofa_0742.off,sofa_0742_32_x1_z3.binvox,32,1,3
sofa,test,sofa_0742.off,sofa_0742_32_x2_z0.binvox,32,2,0
sofa,test,sofa_0742.off,sofa_0742_32_x2_z1.binvox,32,2,1
sofa,test,sofa_0742.off,sofa_0742_32_x2_z2.binvox,32,2,2
sofa,test,sofa_0742.off,sofa_0742_32_x2_z3.binvox,32,2,3
sofa,test,sofa_0742.off,sofa_0742_32_x3_z0.binvox,32,3,0
sofa,test,sofa_0742.off,sofa_0742_32_x3_z1.binvox,32,3,1
sofa,test,sofa_0742.off,sofa_0742_32_x3_z2.binvox,32,3,2
sofa,test,sofa_0742.off,sofa_0742_32_x3_z3.binvox,32,3,3
sofa,test,sofa_0724.off,sofa_0724_32_x0_z0.binvox,32,0,0
sofa,test,sofa_0724.off,sofa_0724_32_x0_z1.binvox,32,0,1
sofa,test,sofa_0724.off,sofa_0724_32_x0_z2.binvox,32,0,2
sofa,test,sofa_0724.off,sofa_0724_32_x0_z3.binvox,32,0,3
sofa,test,sofa_0724.off,sofa_0724_32_x1_z0.binvox,32,1,0
sofa,test,sofa_0724.off,sofa_0724_32_x1_z1.binvox,32,1,1
sofa,test,sofa_0724.off,sofa_0724_32_x1_z2.binvox,32,1,2
sofa,test,sofa_0724.off,sofa_0724_32_x1_z3.binvox,32,1,3
sofa,test,sofa_0724.off,sofa_0724_32_x2_z0.binvox,32,2,0
sofa,test,sofa_0724.off,sofa_0724_32_x2_z1.binvox,32,2,1
sofa,test,sofa_0724.off,sofa_0724_32_x2_z2.binvox,32,2,2
sofa,test,sofa_0724.off,sofa_0724_32_x2_z3.binvox,32,2,3
sofa,test,sofa_0724.off,sofa_0724_32_x3_z0.binvox,32,3,0
sofa,test,sofa_0724.off,sofa_0724_32_x3_z1.binvox,32,3,1
sofa,test,sofa_0724.off,sofa_0724_32_x3_z2.binvox,32,3,2
sofa,test,sofa_0724.off,sofa_0724_32_x3_z3.binvox,32,3,3
sofa,test,sofa_0750.off,sofa_0750_32_x0_z0.binvox,32,0,0
sofa,test,sofa_0750.off,sofa_0750_32_x0_z1.binvox,32,0,1
sofa,test,sofa_0750.off,sofa_0750_32_x0_z2.binvox,32,0,2
sofa,test,sofa_0750.off,sofa_0750_32_x0_z3.binvox,32,0,3
sofa,test,sofa_0750.off,sofa_0750_32_x1_z0.binvox,32,1,0
sofa,test,sofa_0750.off,sofa_0750_32_x1_z1.binvox,32,1,1
sofa,test,sofa_0750.off,sofa_0750_32_x1_z2.binvox,32,1,2
sofa,test,sofa_0750.off,sofa_0750_32_x1_z3.binvox,32,1,3
sofa,test,sofa_0750.off,sofa_0750_32_x2_z0.binvox,32,2,0
sofa,test,sofa_0750.off,sofa_0750_32_x2_z1.binvox,32,2,1
sofa,test,sofa_0750.off,sofa_0750_32_x2_z2.binvox,32,2,2
sofa,test,sofa_0750.off,sofa_0750_32_x2_z3.binvox,32,2,3
sofa,test,sofa_0750.off,sofa_0750_32_x3_z0.binvox,32,3,0
sofa,test,sofa_0750.off,sofa_0750_32_x3_z1.binvox,32,3,1
sofa,test,sofa_0750.off,sofa_0750_32_x3_z2.binvox,32,3,2
sofa,test,sofa_0750.off,sofa_0750_32_x3_z3.binvox,32,3,3
sofa,test,sofa_0715.off,sofa_0715_32_x0_z0.binvox,32,0,0
sofa,test,sofa_0715.off,sofa_0715_32_x0_z1.binvox,32,0,1
sofa,test,sofa_0715.off,sofa_0715_32_x0_z2.binvox,32,0,2
sofa,test,sofa_0715.off,sofa_0715_32_x0_z3.binvox,32,0,3
sofa,test,sofa_0715.off,sofa_0715_32_x1_z0.binvox,32,1,0
sofa,test,sofa_0715.off,sofa_0715_32_x1_z1.binvox,32,1,1
sofa,test,sofa_0715.off,sofa_0715_32_x1_z2.binvox,32,1,2
sofa,test,sofa_0715.off,sofa_0715_32_x1_z3.binvox,32,1,3
sofa,test,sofa_0715.off,sofa_0715_32_x2_z0.binvox,32,2,0
sofa,test,sofa_0715.off,sofa_0715_32_x2_z1.binvox,32,2,1
sofa,test,sofa_0715.off,sofa_0715_32_x2_z2.binvox,32,2,2
sofa,test,sofa_0715.off,sofa_0715_32_x2_z3.binvox,32,2,3
sofa,test,sofa_0715.off,sofa_0715_32_x3_z0.binvox,32,3,0
sofa,test,sofa_0715.off,sofa_0715_32_x3_z1.binvox,32,3,1
sofa,test,sofa_0715.off,sofa_0715_32_x3_z2.binvox,32,3,2
sofa,test,sofa_0715.off,sofa_0715_32_x3_z3.binvox,32,3,3
sofa,test,sofa_0728.off,sofa_0728_32_x0_z0.binvox,32,0,0
sofa,test,sofa_0728.off,sofa_0728_32_x0_z1.binvox,32,0,1
sofa,test,sofa_0728.off,sofa_0728_32_x0_z2.binvox,32,0,2
sofa,test,sofa_0728.off,sofa_0728_32_x0_z3.binvox,32,0,3
sofa,test,sofa_0728.off,sofa_0728_32_x1_z0.binvox,32,1,0
sofa,test,sofa_0728.off,sofa_0728_32_x1_z1.binvox,32,1,1
sofa,test,sofa_0728.off,sofa_0728_32_x1_z2.binvox,32,1,2
sofa,test,sofa_0728.off,sofa_0728_32_x1_z3.binvox,32,1,3
sofa,test,sofa_0728.off,sofa_0728_32_x2_z0.binvox,32,2,0
sofa,test,sofa_0728.off,sofa_0728_32_x2_z1.binvox,32,2,1
sofa,test,sofa_0728.off,sofa_0728_32_x2_z2.binvox,32,2,2
sofa,test,sofa_0728.off,sofa_0728_32_x2_z3.binvox,32,2,3
sofa,test,sofa_0728.off,sofa_0728_32_x3_z0.binvox,32,3,0
sofa,test,sofa_0728.off,sofa_0728_32_x3_z1.binvox,32,3,1
sofa,test,sofa_0728.off,sofa_0728_32_x3_z2.binvox,32,3,2
sofa,test,sofa_0728.off,sofa_0728_32_x3_z3.binvox,32,3,3
sofa,test,sofa_0746.off,sofa_0746_32_x0_z0.binvox,32,0,0
sofa,test,sofa_0746.off,sofa_0746_32_x0_z1.binvox,32,0,1
sofa,test,sofa_0746.off,sofa_0746_32_x0_z2.binvox,32,0,2
sofa,test,sofa_0746.off,sofa_0746_32_x0_z3.binvox,32,0,3
sofa,test,sofa_0746.off,sofa_0746_32_x1_z0.binvox,32,1,0
sofa,test,sofa_0746.off,sofa_0746_32_x1_z1.binvox,32,1,1
sofa,test,sofa_0746.off,sofa_0746_32_x1_z2.binvox,32,1,2
sofa,test,sofa_0746.off,sofa_0746_32_x1_z3.binvox,32,1,3
sofa,test,sofa_0746.off,sofa_0746_32_x2_z0.binvox,32,2,0
sofa,test,sofa_0746.off,sofa_0746_32_x2_z1.binvox,32,2,1
sofa,test,sofa_0746.off,sofa_0746_32_x2_z2.binvox,32,2,2
sofa,test,sofa_0746.off,sofa_0746_32_x2_z3.binvox,32,2,3
sofa,test,sofa_0746.off,sofa_0746_32_x3_z0.binvox,32,3,0
sofa,test,sofa_0746.off,sofa_0746_32_x3_z1.binvox,32,3,1
sofa,test,sofa_0746.off,sofa_0746_32_x3_z2.binvox,32,3,2
sofa,test,sofa_0746.off,sofa_0746_32_x3_z3.binvox,32,3,3
sofa,test,sofa_0755.off,sofa_0755_32_x0_z0.binvox,32,0,0
sofa,test,sofa_0755.off,sofa_0755_32_x0_z1.binvox,32,0,1
sofa,test,sofa_0755.off,sofa_0755_32_x0_z2.binvox,32,0,2
sofa,test,sofa_0755.off,sofa_0755_32_x0_z3.binvox,32,0,3
sofa,test,sofa_0755.off,sofa_0755_32_x1_z0.binvox,32,1,0
sofa,test,sofa_0755.off,sofa_0755_32_x1_z1.binvox,32,1,1
sofa,test,sofa_0755.off,sofa_0755_32_x1_z2.binvox,32,1,2
sofa,test,sofa_0755.off,sofa_0755_32_x1_z3.binvox,32,1,3
sofa,test,sofa_0755.off,sofa_0755_32_x2_z0.binvox,32,2,0
sofa,test,sofa_0755.off,sofa_0755_32_x2_z1.binvox,32,2,1
sofa,test,sofa_0755.off,sofa_0755_32_x2_z2.binvox,32,2,2
sofa,test,sofa_0755.off,sofa_0755_32_x2_z3.binvox,32,2,3
sofa,test,sofa_0755.off,sofa_0755_32_x3_z0.binvox,32,3,0
sofa,test,sofa_0755.off,sofa_0755_32_x3_z1.binvox,32,3,1
sofa,test,sofa_0755.off,sofa_0755_32_x3_z2.binvox,32,3,2
sofa,test,sofa_0755.off,sofa_0755_32_x3_z3.binvox,32,3,3
sofa,test,sofa_0698.off,sofa_0698_32_x0_z0.binvox,32,0,0
sofa,test,sofa_0698.off,sofa_0698_32_x0_z1.binvox,32,0,1
sofa,test,sofa_0698.off,sofa_0698_32_x0_z2.binvox,32,0,2
sofa,test,sofa_0698.off,sofa_0698_32_x0_z3.binvox,32,0,3
sofa,test,sofa_0698.off,sofa_0698_32_x1_z0.binvox,32,1,0
sofa,test,sofa_0698.off,sofa_0698_32_x1_z1.binvox,32,1,1
sofa,test,sofa_0698.off,sofa_0698_32_x1_z2.binvox,32,1,2
sofa,test,sofa_0698.off,sofa_0698_32_x1_z3.binvox,32,1,3
sofa,test,sofa_0698.off,sofa_0698_32_x2_z0.binvox,32,2,0
sofa,test,sofa_0698.off,sofa_0698_32_x2_z1.binvox,32,2,1
sofa,test,sofa_0698.off,sofa_0698_32_x2_z2.binvox,32,2,2
sofa,test,sofa_0698.off,sofa_0698_32_x2_z3.binvox,32,2,3
sofa,test,sofa_0698.off,sofa_0698_32_x3_z0.binvox,32,3,0
