category,dataset,model,binvox,dimension,x_rotations,z_rotations,max,min,mean,loss
toilet,test,toilet_0378.off,toilet_0378_32_x0_z0.binvox,32,0,0,1.0,0.0,0.18372588,0.0056095566
toilet,test,toilet_0419.off,toilet_0419_32_x0_z0.binvox,32,0,0,1.0,0.0,0.1448238,0.0047978433
toilet,test,toilet_0403.off,toilet_0403_32_x0_z0.binvox,32,0,0,0.9999958,0.0,0.14026621,0.0038529036
toilet,test,toilet_0363.off,toilet_0363_32_x0_z0.binvox,32,0,0,1.0,0.0,0.21631515,0.0040675234
toilet,test,toilet_0358.off,toilet_0358_32_x0_z0.binvox,32,0,0,1.0,0.0,0.208431,0.002328494
toilet,test,toilet_0405.off,toilet_0405_32_x0_z0.binvox,32,0,0,0.9999987,0.0,0.437057,0.007715014
toilet,test,toilet_0432.off,toilet_0432_32_x0_z0.binvox,32,0,0,0.9999821,0.0,0.14017634,0.005281262
toilet,test,toilet_0426.off,toilet_0426_32_x0_z0.binvox,32,0,0,1.0,0.0,0.18302979,0.005203043
toilet,test,toilet_0387.off,toilet_0387_32_x0_z0.binvox,32,0,0,1.0,0.0,0.20950446,0.004539165
toilet,test,toilet_0402.off,toilet_0402_32_x0_z0.binvox,32,0,0,0.9999999,0.0,0.21249796,0.004135636
toilet,test,toilet_0346.off,toilet_0346_32_x0_z0.binvox,32,0,0,1.0,0.0,0.14860944,0.0042199334
toilet,test,toilet_0376.off,toilet_0376_32_x0_z0.binvox,32,0,0,1.0,0.0,0.2186924,0.0049076304
toilet,test,toilet_0374.off,toilet_0374_32_x0_z0.binvox,32,0,0,1.0,0.0,0.24817228,0.006007877
toilet,test,toilet_0415.off,toilet_0415_32_x0_z0.binvox,32,0,0,1.0,0.0,0.21121317,0.0055036675
toilet,test,toilet_0370.off,toilet_0370_32_x0_z0.binvox,32,0,0,0.99999976,0.0,0.19807184,0.0075276783
toilet,test,toilet_0345.off,toilet_0345_32_x0_z0.binvox,32,0,0,0.99999917,0.0,0.23385179,0.0076927133
toilet,test,toilet_0434.off,toilet_0434_32_x0_z0.binvox,32,0,0,0.99949455,0.0,0.031043462,0.001264598
toilet,test,toilet_0412.off,toilet_0412_32_x0_z0.binvox,32,0,0,0.9996885,0.0,0.09441142,0.004000685
toilet,test,toilet_0379.off,toilet_0379_32_x0_z0.binvox,32,0,0,0.9999999,0.0,0.17644632,0.0043873703
toilet,test,toilet_0430.off,toilet_0430_32_x0_z0.binvox,32,0,0,0.99999905,0.0,0.14545232,0.0031462573
toilet,test,toilet_0421.off,toilet_0421_32_x0_z0.binvox,32,0,0,1.0,0.0,0.13671258,0.0050665173
toilet,test,toilet_0371.off,toilet_0371_32_x0_z0.binvox,32,0,0,0.9999993,0.0,0.38742486,0.0048658093
toilet,test,toilet_0408.off,toilet_0408_32_x0_z0.binvox,32,0,0,0.9999355,0.0,0.1309881,0.0054387203
toilet,test,toilet_0364.off,toilet_0364_32_x0_z0.binvox,32,0,0,0.9999982,0.0,0.2623707,0.0025109071
toilet,test,toilet_0391.off,toilet_0391_32_x0_z0.binvox,32,0,0,0.9999995,0.0,0.3298249,0.003940044
toilet,test,toilet_0427.off,toilet_0427_32_x0_z0.binvox,32,0,0,1.0,0.0,0.21897162,0.0066942913
toilet,test,toilet_0437.off,toilet_0437_32_x0_z0.binvox,32,0,0,0.9999995,0.0,0.24352193,0.0051398547
toilet,test,toilet_0351.off,toilet_0351_32_x0_z0.binvox,32,0,0,1.0,0.0,0.25143394,0.005337917
toilet,test,toilet_0422.off,toilet_0422_32_x0_z0.binvox,32,0,0,1.0,0.0,0.22277126,0.0055498867
toilet,test,toilet_0429.off,toilet_0429_32_x0_z0.binvox,32,0,0,1.0,0.0,0.20991324,0.0060413056
toilet,test,toilet_0347.off,toilet_0347_32_x0_z0.binvox,32,0,0,0.999997,0.0,0.33318862,0.0051909117
