num_self_intersections,license,ave_area,max_valance,num_boundary_edges,median_area,p75_aspect_ratio,p75_dihedral_angle,title,num_complanar_intersecting_faces,ave_aspect_ratio,orientable,stl_file,p95_dihedral_angle,min_area,euler_characteristic,p25_aspect_ratio,p90_valance,p25_valance,p25_dihedral_angle,PWN,vertex_manifold,min_dihedral_angle,solid,author,median_valance,min_valance,publish_time,p95_valance,num_connected_components,num_duplicated_faces,p95_aspect_ratio,max_aspect_ratio,img_file,link,median_aspect_ratio,p25_area,min_aspect_ratio,num_faces,category,thing_id,tags,max_dihedral_angle,max_area,edge_manifold,p75_area,total_area,num_combinatorial_degenerated_faces,num_geometric_degenerated_faces,p90_aspect_ratio,p75_valance,p95_area,p90_dihedral_angle,num_vertices,p90_area,subcategory,ave_valance,ave_dihedral_angle,median_dihedral_angle
41,Creative Commons - Attribution - Share Alike,88.9785,13.0,,53.55,12.166,1.5708,Full ABS RC plane with brushless electric motor ,18,430.646,,100026.json,1.5708,,-10,2.23526,9.4,5.0,,,,,,northshore,7.0,3.0,2012-11-04T06:34:23,11.0,1,,781.652,28937.9,100026.png,https://thingiverse-production-new.s3.amazonaws.com/assets/cc/d4/30/91/4b/battery_and_controller_housing_-_V3_-_1300mAhr_battery.stl,6.31051,22.8159,1.10586,270,hobby,33732,"['aircraft', 'hobby', 'model', 'RC', 'RC_plane', 'Remote_control']",1.57722,796.683,,81.2313,24024.2,,11,46.8119,8.0,367.215,1.5708,117,174.713,rc-vehicles,6.78632,0.687029,
148,Creative Commons - Attribution - Share Alike,12.6014,18.0,,1.1349,10.7608,1.5708,Full ABS RC plane with brushless electric motor ,45,203300000000.0,,100027.json,1.57093,,1,2.8883,9.0,5.0,,,,,,northshore,6.0,3.0,2012-11-04T06:34:23,12.0,1,3,398.514,97471600000000.0,100027.png,https://thingiverse-production-new.s3.amazonaws.com/assets/0b/cb/c1/0b/a7/battery_cover_-_1300mAhr_battery.stl,6.43572,0.376655,1.05839,508,hobby,33732,"['aircraft', 'hobby', 'model', 'RC', 'RC_plane', 'Remote_control']",3.14159,313.993,,11.7662,6401.5,,18,103.198,8.0,34.7738,1.5708,218,24.6247,rc-vehicles,6.65138,0.690393,0.0122215
,Creative Commons - Attribution - Share Alike,4.962,14.0,,0.607116,4.8357,1.5708,Full ABS RC plane with brushless electric motor ,,429.527,1,100028.json,1.5708,0.00892576,6,4.00227,6.1,5.0,,1,1,,1,northshore,6.0,3.0,2012-11-04T06:34:23,7.2,3,,29.4744,25548.3,100028.png,https://thingiverse-production-new.s3.amazonaws.com/assets/44/ae/07/84/f4/battery_door_mounts.stl,4.00883,0.429091,1.20711,228,hobby,33732,"['aircraft', 'hobby', 'model', 'RC', 'RC_plane', 'Remote_control']",1.5708,80.0,1,0.608208,1131.34,,,14.9293,6.0,17.875,1.5708,120,16.25,rc-vehicles,5.7,0.643016,0.261799
78,Creative Commons - Attribution - Share Alike,54.9062,15.0,2,19.719,13.9435,1.5708,Full ABS RC plane with brushless electric motor ,26,-1678320000000.0,,100029.json,1.8246,,-21,3.44858,8.9,6.0,,,,,,northshore,6.0,3.0,2012-11-04T06:34:23,9.0,2,,236.363,361340.0,100029.png,https://thingiverse-production-new.s3.amazonaws.com/assets/d7/9d/64/3d/a8/elevator_and_stabiliser_-_V4.stl,5.88375,14.5526,-726712000000000.0,452,hobby,33732,"['aircraft', 'hobby', 'model', 'RC', 'RC_plane', 'Remote_control']",3.12418,540.671,,68.7991,24817.6,,20,43.7288,7.0,194.258,1.5708,202,124.971,rc-vehicles,6.68317,0.664232,0.0111792
98,Creative Commons - Attribution - Share Alike,29.9905,25.0,5,4.60616,33.6218,1.57015,Full ABS RC plane with brushless electric motor ,25,48906000.0,,100030.json,1.57315,,15,3.44463,9.0,5.0,4.185e-05,,,,,northshore,6.0,3.0,2012-11-04T06:34:23,11.0,1,5,1035.31,30731200000.0,100030.png,https://thingiverse-production-new.s3.amazonaws.com/assets/a6/f4/02/46/0c/extended_nose_plus_engine_mount_-_V9.stl,12.4845,0.784853,1.02172,1504,hobby,33732,"['aircraft', 'hobby', 'model', 'RC', 'RC_plane', 'Remote_control']",3.14159,1982.95,,8.8828,45105.6,,5,197.025,8.0,125.665,1.57081,608,60.5309,rc-vehicles,6.89803,0.539553,0.0284578
11,Creative Commons - Attribution - Share Alike,14.7297,17.0,1,2.34948,16.9531,1.5708,Full ABS RC plane with brushless electric motor ,16,261437.0,,100036.json,1.5708,,9,7.07697,7.0,5.0,,,,,,northshore,6.0,3.0,2012-11-04T06:34:23,8.0,1,7,234.091,65556700.0,100036.png,https://thingiverse-production-new.s3.amazonaws.com/assets/e7/1b/56/d6/b1/tail_section_bracket_-_V3.stl,8.89112,1.7442,1.03725,252,hobby,33732,"['aircraft', 'hobby', 'model', 'RC', 'RC_plane', 'Remote_control']",2.42295,220.55,,4.2397,3711.88,,1,57.0036,6.0,116.609,1.5708,123,22.0423,rc-vehicles,5.95122,0.59152,0.00458949
12,Creative Commons - Attribution - Share Alike,7.01353,17.0,3,0.399752,15.6857,1.5708,Full ABS RC plane with brushless electric motor ,,219.581,,100037.json,1.5708,,-7,3.49178,9.0,5.0,,,,,,northshore,5.0,2.0,2012-11-04T06:34:23,11.0,1,,312.294,30166.5,100037.png,https://thingiverse-production-new.s3.amazonaws.com/assets/18/b8/5e/6a/73/tail_wheel_bracket_-_V3.stl,5.96045,0.275247,1.21227,375,hobby,33732,"['aircraft', 'hobby', 'model', 'RC', 'RC_plane', 'Remote_control']",1.57501,199.5,,2.74109,2630.07,,5,67.4668,6.0,31.6441,1.5708,181,18.3089,rc-vehicles,6.22099,0.56833,2.3735e-06
188,Creative Commons - Attribution,0.145495,17.0,,0.0057274,7.49266,1.5708,Micro Robot arm (9g Micro Servo) see video ,24,9.77271,1,100045.json,1.5708,0.000540894,-2,1.79805,8.0,5.0,,1,1,,,bentommye,5.0,3.0,2012-11-18T08:54:47,11.65,3,,32.6268,249.876,100045.png,https://thingiverse-production-new.s3.amazonaws.com/assets/c5/b4/d1/64/c6/Fot.stl,3.192,0.00195778,1.0344,420,hobby,34829,"['3D', 'arduino', 'PrintBot', 'robot', 'robotarm', 'robot_arm']",1.61766,1.7199,1,0.0583091,61.1079,,,17.424,6.0,0.99999,1.5708,208,0.84,robotics,6.05769,0.592873,
,Creative Commons - Attribution - Share Alike,1.48572,52.0,,0.139364,2.7122,0.157475,Smiley Cube Man  ,,563.892,1,100070.json,0.34432,0.000542809,,1.22182,6.0,6.0,1.32172e-05,1,1,,1,FabLabSeoul,6.0,4.0,2012-11-18T14:06:17,6.0,1,,35.0734,917205.0,100070.png,https://thingiverse-production-new.s3.amazonaws.com/assets/3d/db/b5/8f/e5/head.STL,1.44775,0.0516562,1.00843,5030,3d-printing,34840,"['3D', 'cube', 'LulzBot', 'makerbot', 'man', 'similey', 'smiley_cube_man', 'toy']",1.68886,665.0,1,0.274013,7473.17,,,12.9906,6.0,6.44525,0.165635,2515,2.60064,,6.0,0.15141,0.0830622
,Creative Commons - Attribution - Share Alike,13.2541,18.0,24,2.9682,60.6847,1.5708,Smiley Cube Man  ,,168.904,1,100071.json,1.5708,0.0117141,-8,8.69526,7.0,5.0,,,1,,,FabLabSeoul,6.0,2.0,2012-11-18T14:06:17,10.0,1,,81.3529,55638.4,100071.png,https://thingiverse-production-new.s3.amazonaws.com/assets/8d/43/32/df/02/body.STL,14.1705,1.10191,1.0335,1070,3d-printing,34840,"['3D', 'cube', 'LulzBot', 'makerbot', 'man', 'similey', 'smiley_cube_man', 'toy']",1.5708,492.0,1,7.46292,14181.9,,,65.1069,6.0,72.9781,1.5708,539,22.75,,6.0,0.566623,2.93755e-22
