p75_aspect_ratio,p95_dihedral_angle,max_aspect_ratio,min_aspect_ratio,p95_area,p75_valance,PWN,title,num_self_intersections,p25_aspect_ratio,num_combinatorial_degenerated_faces,stl_file,p25_area,ave_area,orientable,min_valance,thing_id,subcategory,num_boundary_edges,max_area,num_duplicated_faces,edge_manifold,category,p75_area,json_file,vertex_manifold,median_dihedral_angle,num_connected_components,num_faces,total_area,publish_time,euler_characteristic,p90_aspect_ratio,ave_valance,link,num_complanar_intersecting_faces,max_dihedral_angle,solid,max_valance,median_aspect_ratio,median_valance,p25_dihedral_angle,p25_valance,num_geometric_degenerated_faces,ave_aspect_ratio,p90_dihedral_angle,license,p75_dihedral_angle,ave_dihedral_angle,p90_valance,author,num_vertices,img_file,p95_valance,min_area,min_dihedral_angle,p95_aspect_ratio,tags,p90_area,median_area
12.166,1.5708,28937.9,1.10586,367.215,8.0,,Full ABS RC plane with brushless electric motor ,41,2.23526,,100026.stl,22.8159,88.9785,,3.0,33732,rc-vehicles,,796.683,,,hobby,81.2313,100026.json,,,1,270,24024.2,2012-11-04T06:34:23,-10,46.8119,6.78632,https://thingiverse-production-new.s3.amazonaws.com/assets/cc/d4/30/91/4b/battery_and_controller_housing_-_V3_-_1300mAhr_battery.stl,18,1.57722,,13.0,6.31051,7.0,,5.0,11,430.646,1.5708,Creative Commons - Attribution - Share Alike,1.5708,0.687029,9.4,northshore,117,100026.png,11.0,,,781.652,"['aircraft', 'hobby', 'model', 'RC', 'RC_plane', 'Remote_control']",174.713,53.55
10.7608,1.57093,97471600000000.0,1.05839,34.7738,8.0,,Full ABS RC plane with brushless electric motor ,148,2.8883,,100027.stl,0.376655,12.6014,,3.0,33732,rc-vehicles,,313.993,3,,hobby,11.7662,100027.json,,0.0122215,1,508,6401.5,2012-11-04T06:34:23,1,103.198,6.65138,https://thingiverse-production-new.s3.amazonaws.com/assets/0b/cb/c1/0b/a7/battery_cover_-_1300mAhr_battery.stl,45,3.14159,,18.0,6.43572,6.0,,5.0,18,203300000000.0,1.5708,Creative Commons - Attribution - Share Alike,1.5708,0.690393,9.0,northshore,218,100027.png,12.0,,,398.514,"['aircraft', 'hobby', 'model', 'RC', 'RC_plane', 'Remote_control']",24.6247,1.1349
4.8357,1.5708,25548.3,1.20711,17.875,6.0,1,Full ABS RC plane with brushless electric motor ,,4.00227,,100028.stl,0.429091,4.962,1,3.0,33732,rc-vehicles,,80.0,,1,hobby,0.608208,100028.json,1,0.261799,3,228,1131.34,2012-11-04T06:34:23,6,14.9293,5.7,https://thingiverse-production-new.s3.amazonaws.com/assets/44/ae/07/84/f4/battery_door_mounts.stl,,1.5708,1,14.0,4.00883,6.0,,5.0,,429.527,1.5708,Creative Commons - Attribution - Share Alike,1.5708,0.643016,6.1,northshore,120,100028.png,7.2,0.00892576,,29.4744,"['aircraft', 'hobby', 'model', 'RC', 'RC_plane', 'Remote_control']",16.25,0.607116
13.9435,1.8246,361340.0,-726712000000000.0,194.258,7.0,,Full ABS RC plane with brushless electric motor ,78,3.44858,,100029.stl,14.5526,54.9062,,3.0,33732,rc-vehicles,2,540.671,,,hobby,68.7991,100029.json,,0.0111792,2,452,24817.6,2012-11-04T06:34:23,-21,43.7288,6.68317,https://thingiverse-production-new.s3.amazonaws.com/assets/d7/9d/64/3d/a8/elevator_and_stabiliser_-_V4.stl,26,3.12418,,15.0,5.88375,6.0,,6.0,20,-1678320000000.0,1.5708,Creative Commons - Attribution - Share Alike,1.5708,0.664232,8.9,northshore,202,100029.png,9.0,,,236.363,"['aircraft', 'hobby', 'model', 'RC', 'RC_plane', 'Remote_control']",124.971,19.719
33.6218,1.57315,30731200000.0,1.02172,125.665,8.0,,Full ABS RC plane with brushless electric motor ,98,3.44463,,100030.stl,0.784853,29.9905,,3.0,33732,rc-vehicles,5,1982.95,5,,hobby,8.8828,100030.json,,0.0284578,1,1504,45105.6,2012-11-04T06:34:23,15,197.025,6.89803,https://thingiverse-production-new.s3.amazonaws.com/assets/a6/f4/02/46/0c/extended_nose_plus_engine_mount_-_V9.stl,25,3.14159,,25.0,12.4845,6.0,4.185e-05,5.0,5,48906000.0,1.57081,Creative Commons - Attribution - Share Alike,1.57015,0.539553,9.0,northshore,608,100030.png,11.0,,,1035.31,"['aircraft', 'hobby', 'model', 'RC', 'RC_plane', 'Remote_control']",60.5309,4.60616
16.9531,1.5708,65556700.0,1.03725,116.609,6.0,,Full ABS RC plane with brushless electric motor ,11,7.07697,,100036.stl,1.7442,14.7297,,3.0,33732,rc-vehicles,1,220.55,7,,hobby,4.2397,100036.json,,0.00458949,1,252,3711.88,2012-11-04T06:34:23,9,57.0036,5.95122,https://thingiverse-production-new.s3.amazonaws.com/assets/e7/1b/56/d6/b1/tail_section_bracket_-_V3.stl,16,2.42295,,17.0,8.89112,6.0,,5.0,1,261437.0,1.5708,Creative Commons - Attribution - Share Alike,1.5708,0.59152,7.0,northshore,123,100036.png,8.0,,,234.091,"['aircraft', 'hobby', 'model', 'RC', 'RC_plane', 'Remote_control']",22.0423,2.34948
15.6857,1.5708,30166.5,1.21227,31.6441,6.0,,Full ABS RC plane with brushless electric motor ,12,3.49178,,100037.stl,0.275247,7.01353,,2.0,33732,rc-vehicles,3,199.5,,,hobby,2.74109,100037.json,,2.3735e-06,1,375,2630.07,2012-11-04T06:34:23,-7,67.4668,6.22099,https://thingiverse-production-new.s3.amazonaws.com/assets/18/b8/5e/6a/73/tail_wheel_bracket_-_V3.stl,,1.57501,,17.0,5.96045,5.0,,5.0,5,219.581,1.5708,Creative Commons - Attribution - Share Alike,1.5708,0.56833,9.0,northshore,181,100037.png,11.0,,,312.294,"['aircraft', 'hobby', 'model', 'RC', 'RC_plane', 'Remote_control']",18.3089,0.399752
7.49266,1.5708,249.876,1.0344,0.99999,6.0,1,Micro Robot arm (9g Micro Servo) see video ,188,1.79805,,100045.stl,0.00195778,0.145495,1,3.0,34829,robotics,,1.7199,,1,hobby,0.0583091,100045.json,1,,3,420,61.1079,2012-11-18T08:54:47,-2,17.424,6.05769,https://thingiverse-production-new.s3.amazonaws.com/assets/c5/b4/d1/64/c6/Fot.stl,24,1.61766,,17.0,3.192,5.0,,5.0,,9.77271,1.5708,Creative Commons - Attribution,1.5708,0.592873,8.0,bentommye,208,100045.png,11.65,0.000540894,,32.6268,"['3D', 'arduino', 'PrintBot', 'robot', 'robotarm', 'robot_arm']",0.84,0.0057274
2.7122,0.34432,917205.0,1.00843,6.44525,6.0,1,Smiley Cube Man  ,,1.22182,,100070.stl,0.0516562,1.48572,1,4.0,34840,,,665.0,,1,3d-printing,0.274013,100070.json,1,0.0830622,1,5030,7473.17,2012-11-18T14:06:17,,12.9906,6.0,https://thingiverse-production-new.s3.amazonaws.com/assets/3d/db/b5/8f/e5/head.STL,,1.68886,1,52.0,1.44775,6.0,1.32172e-05,6.0,,563.892,0.165635,Creative Commons - Attribution - Share Alike,0.157475,0.15141,6.0,FabLabSeoul,2515,100070.png,6.0,0.000542809,,35.0734,"['3D', 'cube', 'LulzBot', 'makerbot', 'man', 'similey', 'smiley_cube_man', 'toy']",2.60064,0.139364
60.6847,1.5708,55638.4,1.0335,72.9781,6.0,,Smiley Cube Man  ,,8.69526,,100071.stl,1.10191,13.2541,1,2.0,34840,,24,492.0,,1,3d-printing,7.46292,100071.json,1,2.93755e-22,1,1070,14181.9,2012-11-18T14:06:17,-8,65.1069,6.0,https://thingiverse-production-new.s3.amazonaws.com/assets/8d/43/32/df/02/body.STL,,1.5708,,18.0,14.1705,6.0,,5.0,,168.904,1.5708,Creative Commons - Attribution - Share Alike,1.5708,0.566623,7.0,FabLabSeoul,539,100071.png,10.0,0.0117141,,81.3529,"['3D', 'cube', 'LulzBot', 'makerbot', 'man', 'similey', 'smiley_cube_man', 'toy']",22.75,2.9682
